release_date,movie,production_budget,worldwide_gross,title,studio,foreign_gross,year,_merge,domestic_gross,Movie_title
1973-06-27,Live and Let Die,7000000.0,161800000.0,,,126400000.0,1973,left_only,35400000.0,Live and Let Die
2000-01-12,My Dog Skip,7000000.0,35795319.0,,,1695679.0,2000,left_only,34099640.0,My Dog Skip
2003-01-24,Darkness Falls,7000000.0,47289758.0,,,14750077.0,2003,left_only,32539681.0,Darkness Falls
2008-02-14,"Definitely, Maybe",7000000.0,55617866.0,,,23376217.0,2008,left_only,32241649.0,"Definitely, Maybe"
2005-10-07,"Good Night, and Good Luck",7000000.0,56586901.0,,,25085683.0,2005,left_only,31501218.0,"Good Night, and Good Luck"
2005-09-30,Capote,7000000.0,49924079.0,,,21173549.0,2005,left_only,28750530.0,Capote
2006-08-04,The Descent,7000000.0,57051053.0,,,31026597.0,2006,left_only,26024456.0,The Descent
1995-08-25,Desperado,7000000.0,25532388.0,,,0.0,1995,left_only,25532388.0,Desperado
1976-01-01,Logan's Run,7000000.0,25000000.0,,,0.0,1976,left_only,25000000.0,Logan's Run
2017-04-07,Gifted,7000000.0,36964656.0,Gifted,FoxS,18200000.0,2017.0,both,24801212.0,Gifted
1996-03-08,Fargo,7000000.0,51204567.0,,,26636816.0,1996,left_only,24567751.0,Fargo
2001-04-11,Kingdom Come,7000000.0,23393939.0,,,146400.0,2001,left_only,23247539.0,Kingdom Come
1974-12-20,The Man with the Golden Gun,7000000.0,97600000.0,,,76600000.0,1974,left_only,21000000.0,The Man with the Golden Gun
1988-02-12,Action Jackson,7000000.0,20257000.0,,,0.0,1988,left_only,20257000.0,Action Jackson
1983-05-13,Breathless,7000000.0,19910002.0,,,0.0,1983,left_only,19910002.0,Breathless
2000-05-05,Michael Jordan to the MAX,7000000.0,18642318.0,,,0.0,2000,left_only,18642318.0,Michael Jordan to the MAX
2015-06-19,Dope,7000000.0,18190831.0,Dope,ORF,480000.0,2015.0,both,17506470.0,Dope
2005-07-22,The Devil's Rejects,7000000.0,20940428.0,,,3895447.0,2005,left_only,17044981.0,The Devil's Rejects
2019-05-24,BrightBurn,7000000.0,27989498.0,,,11195066.0,2019,left_only,16794432.0,BrightBurn
2014-01-17,Devil's Due,7000000.0,36146087.0,Devil's Due,Fox,21100000.0,2014.0,both,15821461.0,Devil's Due
1996-03-22,Flirting with Disaster,7000000.0,16149180.0,,,1295706.0,1996,left_only,14853474.0,Flirting with Disaster
2014-11-14,Beyond the Lights,7000000.0,14618727.0,,,0.0,2014,left_only,14618727.0,Beyond the Lights
