release_date,production_budget,worldwide_gross,studio,foreign_gross,year,budget_merge,domestic_gross,Movie_title,tconst,runtimeMinutes,averageRating,numVotes,region,language,_merge
1984-10-26,6400000.0,78019031.0,,40000000.0,1984,left_only,38019031.0,The Terminator,tt0088247,107,8.0,779199.0,76.0,76.0,both
1988-07-15,28000000.0,139109346.0,,57759104.0,1988,left_only,81350242.0,Die Hard,tt0095016,132,8.2,763434.0,60.0,60.0,both
2000-12-08,10000000.0,83593107.0,,53500000.0,2000,left_only,30093107.0,Snatch,tt0208092,104,8.3,761799.0,49.0,49.0,both
2013-10-04,110000000.0,693698673.0,WB,449100000.0,2013.0,both,274092705.0,Gravity,tt1454468,91,7.7,751444.0,50.0,50.0,both
2012-12-14,250000000.0,1017003568.0,WB (NL),718100000.0,2012.0,both,303003568.0,The Hobbit: An Unexpected Journey,tt0903624,169,7.8,743423.0,56.0,56.0,both
2000-10-06,4500000.0,7389233.0,,3753751.0,2000,left_only,3635482.0,Requiem for a Dream,tt0180093,102,8.3,743364.0,45.0,45.0,both
2013-05-03,200000000.0,1215392272.0,BV,805800000.0,2013.0,both,408992272.0,Iron Man 3,tt1300854,130,7.2,735724.0,51.0,51.0,both
2010-06-18,200000000.0,1068879522.0,BV,652000000.0,2010.0,both,415004880.0,Toy Story 3,tt0435761,103,8.3,735111.0,44.0,44.0,both
2015-10-02,108000000.0,655271443.0,Fox,401700000.0,2015.0,both,228433663.0,The Martian,tt3659388,144,8.0,735109.0,50.0,50.0,both
2005-04-01,40000000.0,158527918.0,,84424098.0,2005,left_only,74103820.0,Sin City,tt0401792,124,8.0,731473.0,41.0,41.0,both
2011-05-06,150000000.0,449326618.0,Par.,268300000.0,2011.0,both,181030624.0,Thor,tt0800369,115,7.0,726879.0,46.0,46.0,both
2001-10-26,4500000.0,7510877.0,,6030871.0,2001,left_only,1480006.0,Donnie Darko,tt0246578,113,8.0,725018.0,32.0,32.0,both
2007-03-09,60000000.0,454161935.0,,243546996.0,2007,left_only,210614939.0,300,tt0416449,117,7.6,719497.0,35.0,35.0,both
2011-07-22,140000000.0,370569776.0,Par.,193900000.0,2011.0,both,176654505.0,Captain America: The First Avenger,tt0458339,124,6.9,719070.0,47.0,47.0,both
2015-05-01,330600000.0,1403013963.0,BV,946400000.0,2015.0,both,459005868.0,Avengers: Age of Ultron,tt2395427,141,7.3,717692.0,50.0,50.0,both
1983-12-09,25000000.0,44942821.0,,0.0,1983,left_only,44942821.0,Scarface,tt0086250,170,8.3,715257.0,54.0,54.0,both
2014-04-04,170000000.0,714401889.0,BV,454500000.0,2014.0,both,259746958.0,Captain America: The Winter Soldier,tt1843866,136,7.7,714610.0,55.0,55.0,both
1998-03-06,15000000.0,46189568.0,,28690764.0,1998,left_only,17498804.0,The Big Lebowski,tt0118715,117,8.1,706241.0,,,both
2008-12-12,25000000.0,274543085.0,,126447783.0,2008,left_only,148095302.0,Gran Torino,tt1205489,116,8.1,703232.0,36.0,36.0,both
2009-06-05,35000000.0,465764086.0,,188441583.0,2009,left_only,277322503.0,The Hangover,tt1119646,100,7.7,702465.0,46.0,46.0,both
2010-05-07,170000000.0,621156389.0,Par.,311500000.0,2010.0,both,312433331.0,Iron Man 2,tt1228705,124,7.0,702070.0,46.0,46.0,both
2002-12-27,35000000.0,111854182.0,,79334860.0,2002,left_only,32519322.0,The Pianist,tt0253474,150,8.5,701755.0,49.0,49.0,both
2014-10-10,3300000.0,38969037.0,SPC,35900000.0,2014.0,both,13092006.0,Whiplash,tt2582802,106,8.5,683403.0,39.0,39.0,both
2010-12-03,13000000.0,331266710.0,FoxS,222400000.0,2010.0,both,106954678.0,Black Swan,tt0947798,108,8.0,682638.0,44.0,44.0,both
2014-03-07,31000000.0,163981261.0,FoxS,115500000.0,2014.0,both,59076019.0,The Grand Budapest Hotel,tt2278388,99,8.1,682094.0,49.0,49.0,both
2015-12-25,135000000.0,532938302.0,Fox,349300000.0,2015.0,both,183637894.0,The Revenant,tt1663202,156,8.0,679016.0,42.0,42.0,both
2013-06-14,225000000.0,667999518.0,WB,377000000.0,2013.0,both,291045518.0,Man of Steel,tt0770828,143,7.0,675329.0,53.0,53.0,both
1982-06-25,28000000.0,39342912.0,,6686584.0,1982,left_only,32656328.0,Blade Runner,tt0083658,117,8.1,673277.0,65.0,65.0,both
