,studio,year,Movie_title,tconst,runtimeMinutes,averageRating,numVotes,region,language,Release_Date,Movie_Name,Production_Budget,Gross_Domestic,Gross_Worldwide,_merge,Gross_Foreign_Only
34,,1998.0,American History X,tt0120586,119,8.5,1007640.0,,,"Oct 30, 1998",American History X,10000000.0,6719864.0,6719864.0,both,0.0
35,,2006.0,V for Vendetta,tt0434409,132,8.2,1003158.0,47.0,47.0,"Mar 17, 2006",V for Vendetta,50000000.0,70511035.0,130214162.0,both,59703127.0
36,,2003.0,Pirates of the Caribbean: The Curse of the Black Pearl,tt0325980,143,8.0,997410.0,47.0,47.0,2003-07-09,,140000000.0,305411224.0,634954103.0,left_only,329542879.0
37,,1990.0,Goodfellas,tt0099685,146,8.7,983022.0,,,"Sep 19, 1990",Goodfellas,25000000.0,46743809.0,46777347.0,both,33538.0
38,,1991.0,Terminator 2: Judgment Day,tt0103064,137,8.5,968692.0,67.0,67.0,"Jan 2, 1991",Terminator 2: Judgment Day,100000000.0,203464105.0,515392660.0,both,311928555.0
39,,1995.0,The Usual Suspects,tt0114814,106,8.5,962006.0,,,"Aug 16, 1995",The Usual Suspects,6000000.0,23341568.0,34449356.0,both,11107788.0
40,,1995.0,Braveheart,tt0112573,178,8.3,936895.0,47.0,47.0,"May 24, 1995",Braveheart,72000000.0,75545647.0,209045244.0,both,133499597.0
41,,2003.0,Finding Nemo,tt0266543,100,8.1,922259.0,58.0,58.0,"May 30, 2003",Finding Nemo,94000000.0,380529370.0,936181011.0,both,555651641.0
42,,2008.0,Iron Man,tt0371746,126,7.9,915793.0,46.0,46.0,"May 2, 2008",Iron Man,186000000.0,318604126.0,585171547.0,both,266567421.0
43,,1994.0,The Lion King,tt0110357,88,8.5,910402.0,62.0,62.0,"Jul 11, 2019",The Lion King,260000000.0,543638043.0,1656943394.0,both,1113305351.0
44,,1994.0,The Lion King,tt0110357,88,8.5,910402.0,62.0,62.0,"Jun 15, 1994",The Lion King,79300000.0,421785283.0,986214868.0,both,564429585.0
45,,2009.0,Up,tt1049413,96,8.2,905233.0,45.0,45.0,2009-05-29,,175000000.0,293004164.0,731463377.0,left_only,438459213.0
46,,1998.0,The Truman Show,tt0120382,103,8.1,901414.0,,,"Jun 5, 1998",The Truman Show,60000000.0,125618201.0,264118201.0,both,138500000.0
47,,1992.0,Reservoir Dogs,tt0105236,99,8.3,890177.0,53.0,53.0,"Oct 23, 1992",Reservoir Dogs,1200000.0,2832029.0,2864984.0,both,32955.0
48,,1999.0,The Sixth Sense,tt0167404,107,8.1,889089.0,51.0,51.0,"Aug 6, 1999",The Sixth Sense,40000000.0,293506292.0,672806292.0,both,379300000.0
